sample	raw	merge	clean	orward	reverse
3230	828352 160610 29889 29863 29763
3232	799170 173034 32055 32032 31924
3239	541016 115836 25687 25675 25562
3247	677868 134024 24418 24404 24282
3252	854837 190002 42908 42881 42731
3256	650271 138173 24930 24907 24816
3257	603054 115574 15677 15669 15607
3258	696719 164252 33480 33465 33351
3265	426708 94270 18039 18024 17897
3270	587453 105539 23401 23386 23286
3284	908884 163787 24380 24359 24268
3292	587154 112643 22623 22605 22500
